userId,subscription,lineId,model,deviceId
1000,Forfait Tablettes et PC Absolu Maitrise,85,APPLE iPad 2,130
1001,Forfait Tablettes et PC Absolu Maitrise,566,NULL,NULL
1003,Forfait Tablettes et PC Absolu Maitrise,338,APPLE iPad 2,103
1003,Forfait Tablettes et PC Absolu Maitrise,409,Pack Ipad AIR Service Plus,403
1004,Forfait Tablettes et PC Absolu Maitrise,755,Pack Ipad AIR Service Plus,466
1005,Forfait Tablettes et PC Absolu Maitrise,847,NULL,NULL
1006,Compteur GC sans mobile,117,NULL,NULL
1007,Compteur GC sans mobile,179,NULL,NULL
1009,Forfait Tablettes et PC Absolu Maitrise,153,APPLE IPHONE 4,73
1009,Forfait Tablettes et PC Absolu Maitrise,892,NULL,NULL
1010,Forfait Tablettes et PC Absolu Maitrise,178,APPLE IPHONE 4,63
1012,NULL,NULL,Pack iPad Service Plus,533
1012,Forfait Tablettes et PC Absolu Maitrise,436,NULL,NULL
1012,Forfait Tablettes et PC Absolu Maitrise,792,NULL,NULL
1012,Forfait Tablettes et PC Absolu Maitrise,835,APPLE iPad 2,128
1013,Forfait Tablettes et PC Absolu Maitrise,361,APPLE iPad 2,134
1014,Forfait Tablettes et PC Absolu Maitrise,347,APPLE iPad 2,50
1015,Compteur GC sans mobile,1058,APPLE IPHONE 4,188
1016,Forfait Tablettes et PC Absolu Maitrise,739,"Pack iPad paramétré (wifi, 4G)",603
1017,Forfait Tablettes et PC Absolu Maitrise,331,APPLE iPad 2,52
1018,Forfait Tablettes et PC Absolu Maitrise,841,NULL,NULL
1019,Forfait Tablettes et PC Absolu Maitrise,156,APPLE iPad 2,98
1020,Forfait Tablettes et PC Absolu Maitrise,885,Ipad AIR non-paramétré,438
1021,Forfait Tablettes et PC Absolu Maitrise,520,Pack Ipad AIR Service Plus,457
1022,Forfait Tablettes et PC Absolu Maitrise,146,APPLE iPad 2,49
1024,Forfait Tablettes et PC Absolu Maitrise,158,APPLE iPad 2,14
1024,Forfait Tablettes et PC Absolu Maitrise,887,Pack Ipad AIR Service Plus,410
1025,Forfait Tablettes et PC Absolu Maitrise,765,Ipad AIR non-paramétré,388
1026,Forfait Tablettes et PC Absolu Maitrise,575,NULL,NULL
1027,Forfait Tablettes et PC Absolu Maitrise,834,APPLE iPad 2,144
1028,Forfait Tablettes et PC Absolu Maitrise,95,APPLE IPHONE 4,69
1031,Compteur GC sans mobile,1025,NULL,NULL
1031,Forfait Tablettes et PC Absolu Maitrise,307,"Pack iPad paramétré (wifi, 4G)",531
1031,Forfait Tablettes et PC Absolu Maitrise,597,"Pack iPad paramétré (wifi, 4G)",351
1031,Forfait Tablettes et PC Absolu Maitrise,673,"Pack iPad paramétré (wifi, 4G)",535
1031,Forfait Tablettes et PC Absolu Maitrise,814,"Pack iPad paramétré (wifi, 4G)",365
1031,Lignes sans Produits Facturés,776,NULL,NULL
1032,Compteur GC sans mobile,465,NOKIA 1600,497
1033,Forfait Tablettes et PC Absolu Maitrise,154,APPLE iPad 2,26
1034,NULL,NULL,"Pack iPad paramétré (wifi, 4G)",572
1035,Forfait Tablettes et PC Absolu Maitrise,800,IPAD 3 Wifi/3G,200
1036,Forfait Tablettes et PC Absolu Maitrise,791,NULL,NULL
1037,Forfait Tablettes et PC Absolu Maitrise,622,"Pack iPad paramétré (wifi, 4G)",518
1038,Forfait Tablettes et PC Absolu Maitrise,866,NULL,NULL
1039,Compteur GC sans mobile,200,Pack Voyages GN1 - Réattribution,313
1041,Forfait Tablettes et PC Absolu Maitrise,345,iPad 2 WI-FI 3G 32 Go,233
1041,Forfait Tablettes et PC Absolu Maitrise,958,"Pack iPad Air paramétré (wifi, 4G) ",245
1042,Forfait Tablettes et PC Absolu Maitrise,957,Pack Ipad AIR Service Plus,463
1044,Forfait Tablettes et PC Absolu Maitrise,272,APPLE iPad 2,3
1044,Forfait Tablettes et PC Absolu Maitrise,376,NULL,NULL
1045,Forfait Tablettes et PC Absolu Maitrise,942,NULL,NULL
1046,Forfait Tablettes et PC Absolu Maitrise,279,APPLE iPad 2,133
1047,NULL,NULL,"Pack iPad paramétré (wifi, 4G)",554
1047,Forfait Tablettes et PC Absolu Maitrise,627,"Pack iPad paramétré (wifi, 4G)",549
1048,Forfait Tablettes et PC Absolu Maitrise,284,Ipad AIR non-paramétré,443
1049,Forfait Tablettes et PC Absolu Maitrise,565,NULL,NULL
1050,Compteur GC sans mobile,1051,Samsung GALAXY Note,288
1051,Forfait Tablettes et PC Absolu Maitrise,704,Ipad AIR non-paramétré,359
1051,Forfait Tablettes et PC Absolu Maitrise,728,Ipad AIR non-paramétré,423
1052,Forfait Tablettes et PC Absolu Maitrise,547,APPLE iPad 2,86
1053,Forfait Tablettes et PC Absolu Maitrise,553,Pack iPad Service Plus,495
1054,Forfait Tablettes et PC Absolu Maitrise,522,"Pack iPad Air paramétré (wifi, 4G) ",454
1055,Lignes sans Produits Facturés,943,"Pack iPad Air paramétré (wifi, 4G) ",428
1056,Forfait Tablettes et PC Absolu Maitrise,476,APPLE IPHONE 4,61
1057,Compteur GC sans mobile,192,APPLE IPHONE 4,171
1058,Forfait Tablettes et PC Absolu Maitrise,172,APPLE iPad 2,121
1059,Forfait Tablettes et PC Absolu Maitrise,173,APPLE iPad 2,127
1060,Forfait Tablettes et PC Absolu Maitrise,813,iPad 2 WI-FI 3G 32 Go,216
1061,Forfait Tablettes et PC Absolu Maitrise,298,"Pack iPad paramétré (wifi, 4G)",545
1062,Forfait Tablettes et PC Absolu Maitrise,394,"Pack iPad Air paramétré (wifi, 4G) ",434
1063,Forfait Tablettes et PC Absolu Maitrise,816,"Pack iPad paramétré (wifi, 4G)",515
1064,Compteur GC sans mobile,133,Samsung GALAXY Note,309
1065,NULL,NULL,"Pack iPad paramétré (wifi, 4G)",539
1066,Forfait Tablettes et PC Absolu Maitrise,88,APPLE iPad 2,18
1068,Compteur GC sans mobile,868,SAMSUNG B2710,505
1068,Forfait Tablettes et PC Absolu Maitrise,349,APPLE iPad 2,95
1069,Forfait Tablettes et PC Absolu Maitrise,516,NULL,NULL
1069,Forfait Tablettes et PC Absolu Maitrise,517,NULL,NULL
1069,Forfait Tablettes et PC Absolu Maitrise,518,NULL,NULL
1069,Forfait Tablettes et PC Absolu Maitrise,519,NULL,NULL
1069,Forfait Tablettes et PC Absolu Maitrise,749,NULL,NULL
1070,Forfait Tablettes et PC Absolu Maitrise,633,NULL,NULL
1071,Forfait Tablettes et PC Absolu Maitrise,741,"Pack iPad paramétré (wifi, 4G)",590
1072,Forfait Tablettes et PC Absolu Maitrise,838,"Pack iPad Air paramétré (wifi, 4G) ",246
1073,Forfait Tablettes et PC Absolu Maitrise,578,APPLE iPad 3 4G,203
1074,NULL,NULL,"Pack iPad paramétré (wifi, 4G)",560
1075,Forfait Tablettes et PC Absolu Maitrise,93,APPLE iPad 2,87
1076,Forfait Tablettes et PC Absolu Maitrise,396,APPLE iPad 2,25
1077,Forfait Tablettes et PC Absolu Maitrise,806,Ipad AIR non-paramétré,390
1078,Compteur GC sans mobile,226,NULL,NULL
1079,Forfait Tablettes et PC Absolu Maitrise,708,Ipad AIR non-paramétré,396
1080,Forfait Tablettes et PC Absolu Maitrise,233,iPad 2 WI-FI 3G 32 Go,211
1081,Forfait Tablettes et PC Absolu Maitrise,769,Ipad AIR non-paramétré,397
1082,Compteur GC sans mobile,6,NULL,NULL
1083,Forfait Tablettes et PC Absolu Maitrise,732,"Pack iPad Air paramétré (wifi, 4G) ",429
1084,Forfait Tablettes et PC Absolu Maitrise,831,APPLE iPad 2,31
1085,Forfait Tablettes et PC Absolu Maitrise,369,iPad 2 WI-FI 3G 32 Go,234
1086,Forfait Tablettes et PC Absolu Maitrise,526,Ipad AIR non-paramétré,381
1087,Compteur GC sans mobile,211,Samsung GALAXY Note,319
1088,Forfait Tablettes et PC Absolu Maitrise,255,NULL,NULL
1088,Forfait Tablettes et PC Absolu Maitrise,586,NULL,NULL
1088,Forfait Tablettes et PC Absolu Maitrise,731,NULL,NULL
